word,phonetic,meaning,example
wisely,/ˈwaɪzli/,明智地；聪明地,Learn wisely and learn well.
mooncake,/ˈmuːnkeɪk/,月饼,We eat mooncakes on Mid-Autumn Festival.
lantern,/ˈlæntən/,灯笼,There are many red lanterns in the street.
stranger,/ˈstreɪndʒə(r)/,陌生人,Don't talk to strangers easily.
relative,/ˈrelətɪv/,亲属；亲戚,I visited my relatives during the holiday.
pound,/paʊnd/,磅；英镑,This bag of apples costs two pounds.
folk,/fəʊk/,民间的；民俗的,Folk music is very popular in China.
goddess,/ˈɡɒdəs/,女神,Chang'e is a famous goddess in Chinese mythology.
whoever,/huːˈevə(r)/,无论谁；不管什么人,Whoever comes will be welcome.
steal,/stiːl/,偷；窃取,Someone stole my wallet yesterday.
lay,/leɪ/,放置；安放；产卵,She laid the book on the table.
dessert,/dɪˈzɜːt/,（饭后）甜点；甜食,She likes to eat ice cream as dessert.
garden,/ˈɡɑːdn/,花园；园子,There are many beautiful flowers in the garden.
tradition,/trəˈdɪʃn/,传统,It's a tradition to eat dumplings on Spring Festival.
admire,/ədˈmaɪə(r)/,欣赏；仰慕,We admire the great ancient buildings.
tie,/taɪ/,领带；捆；束,He wore a red tie to the party.
haunted,/ˈhɔːntɪd/,有鬼魂出没的；闹鬼的,This is a haunted house.
ghost,/ɡəʊst/,鬼；鬼魂,Do you believe in ghosts?
trick,/trɪk/,花招；把戏,He played a trick on his friend.
treat,/triːt/,款待；招待,My parents treated us to dinner.
spider,/ˈspaɪdə(r)/,蜘蛛,There's a spider on the wall.
Christmas,/ˈkrɪsməs/,圣诞节,People celebrate Christmas on December 25th.
fool,/fuːl/,蠢人；傻瓜；愚弄,Don't be a fool!
lie,/laɪ/,躺；平躺；处于,She lay on the sofa and watched TV.
novel,/ˈnɒvl/,（长篇）小说,I'm reading a novel by Lu Xun.
eve,/iːv/,前夕；前夜,We stayed up late on New Year's Eve.
bookstore,/ˈbʊkstɔː(r)/,书店,I bought this book at the bookstore.
dead,/ded/,死的；失去生命的,The plant is dead.
business,/ˈbɪznəs/,生意；商业,His father is in the restaurant business.
punish,/ˈpʌnɪʃ/,处罚；惩罚,The teacher punished the naughty boy.
warn,/wɔːn/,警告；告诫,The police warned us about the danger.
present,/ˈpreznt/,现在；礼物；现在的,What can I get her for a birthday present?
nobody,/ˈnəʊbədi/,没有人；小人物,Nobody knows the answer.
warmth,/wɔːmθ/,温暖；暖和,We felt the warmth of the sun.
spread,/spred/,传播；展开；蔓延,The news spread quickly.
restroom,/ˈrestruːm/,（美）洗手间；公共厕所,Could you tell me where the restroom is?
stamp,/stæmp/,邮票；印章,I need a stamp to send this letter.
postcard,/ˈpəʊstkɑːd/,明信片,I sent a postcard to my parents.
pardon,/ˈpɑːdn/,原谅；请再说一遍,"Pardon me, could you repeat that?"
washroom,/ˈwɒʃruːm/,洗手间；厕所,Where is the washroom?
bathroom,/ˈbɑːθruːm/,浴室；洗手间,The bathroom is next to the bedroom.
normally,/ˈnɔːməli/,通常；正常情况下,I normally get up at 7 o'clock.
rush,/rʌʃ/,仓促；急促,"Don't rush, take your time."
suggest,/səˈdʒest/,建议；提议,Can you suggest a good restaurant?
staff,/stɑːf/,管理人员；职工,The staff are very friendly.
grape,/ɡreɪp/,葡萄,I like eating grapes.
central,/ˈsentrəl/,中心的；中央的,The hotel is in the central part of the city.
nearby,/ˌnɪəˈbaɪ/,附近的；在附近,There's a park nearby.
mail,/meɪl/,邮寄；邮件,I need to mail this package.
east,/iːst/,东方的；向东；东方,The sun rises in the east.
fascinating,/ˈfæsɪneɪtɪŋ/,迷人的；极有吸引力的,The museum is fascinating.
inexpensive,/ˌɪnɪkˈspensɪv/,不昂贵的,This restaurant is inexpensive but delicious.
uncrowded,/ʌnˈkraʊdɪd/,不拥挤的；人少的,The beach is uncrowded in winter.
convenient,/kənˈviːniənt/,便利的；方便的,It's convenient to take the subway.
mall,/mɔːl/,商场；购物中心,We went shopping at the mall.
clerk,/klɑːk/,职员,The clerk helped me find what I needed.
corner,/ˈkɔːnə(r)/,拐角；角落,There's a bank at the street corner.
politely,/pəˈlaɪtli/,礼貌地；客气地,He spoke politely to the elderly.
request,/rɪˈkwest/,要求；请求,I have a request to make.
direction,/daɪˈrekʃn/,方向；方位,Can you show me the direction to the station?
correct,/kəˈrekt/,正确的；恰当的；纠正,Your answer is correct.
direct,/dəˈrekt/,直接的；直率的,He gave me a direct answer.
speaker,/ˈspiːkə(r)/,讲（某种）语言的人；发言者,She is a good public speaker.
whom,/huːm/,谁；什么人,Whom did you talk to?
impolite,/ˌɪmpəˈlaɪt/,不礼貌的；粗鲁的,It's impolite to talk with your mouth full.
address,/əˈdres/,地址；住址,What's your home address?
underground,/ˌʌndəˈɡraʊnd/,地下的；地铁,I take the underground to work.
course,/kɔːs/,课程；学科,I'm taking a English course.
Italian,/ɪˈtæliən/,意大利（人）的；意大利人；意大利语,He is Italian.
humorous,/ˈhjuːmərəs/,有幽默感的；滑稽有趣的,My father is a humorous man.
silent,/ˈsaɪlənt/,不说话的；沉默的,He kept silent in the meeting.
helpful,/ˈhelpfl/,有用的；有帮助的,She is always helpful to others.
score,/skɔː(r)/,得分；打分,He scored a goal in the football match.
background,/ˈbækɡraʊnd/,背景,Can you tell me about your educational background?
interview,/ˈɪntəvjuː/,采访；面试,He had an interview with the reporter.
Asian,/ˈeɪʒn/,亚洲（人）的；亚洲人,She is Asian.
deal with,/diːl wɪð/,对付；对待,How do you deal with stress?
dare,/deə(r)/,敢；敢于,I dare not go there alone.
private,/ˈpraɪvət/,私人的；私密的,This is a private conversation.
guard,/ɡɑːd/,警卫；看守；守卫,The guard opened the gate.
require,/rɪˈkwaɪə(r)/,需要；要求,This job requires hard work.
European,/ˌjʊərəˈpiːən/,欧洲（人）的；欧洲人,He is European.
British,/ˈbrɪtɪʃ/,英国（人）的,She has a British accent.
speech,/spiːtʃ/,讲话；发言,He gave a speech at the meeting.
public,/ˈpʌblɪk/,公众；公开的；公众的,This park is open to the public.
ant,/ænt/,蚂蚁,There are many ants in the garden.
insect,/ˈɪnsekt/,昆虫,Butterflies are beautiful insects.
seldom,/ˈseldəm/,不常；很少,I seldom watch TV.
influence,/ˈɪnfluəns/,影响,His father has a great influence on him.
absent,/ˈæbsənt/,缺席；不在,She was absent from school yesterday.
fail,/feɪl/,不及格；失败；未能,I failed the math exam.
examination,/ɪɡˌzæmɪˈneɪʃn/,考试；审查,We have a final examination next week.
exactly,/ɪɡˈzæktli/,确切地；精确地,That's exactly what I mean.
pride,/praɪd/,自豪；骄傲,She takes pride in her work.
proud,/praʊd/,自豪的；骄傲的,I'm proud of my country.
general,/ˈdʒenrəl/,总的；普遍的；常规的；将军,This is a matter of general concern.
introduction,/ˌɪntrəˈdʌkʃn/,介绍,Let me give you a brief introduction.
chopstick,/ˈtʃɒpstɪk/,筷子,Chinese people use chopsticks to eat.
coin,/kɔɪn/,硬币,I found a coin on the street.
fork,/fɔːk/,餐叉；叉子,We use a fork to eat Western food.
blouse,/blaʊz/,（女士）短上衣；衬衫,She is wearing a white blouse.
silver,/ˈsɪlvə(r)/,银；银器；银色的,This is a silver necklace.
glass,/ɡlɑːs/,玻璃；玻璃杯,Be careful with that glass.
cotton,/ˈkɒtn/,棉；棉花,This shirt is made of cotton.
steel,/stiːl/,钢；钢铁,The bridge is made of steel.
fair,/feə(r)/,展览会；交易会,There's a book fair in the city.
environmental,/ɪnˌvaɪrənˈmentl/,自然环境的；有关环境的,We should protect the environmental.
grass,/ɡrɑːs/,草；草地,The grass is green in spring.
leaf,/liːf/,叶；叶子,The tree has green leaves.
produce,/prəˈdjuːs/,生产；制造；出产,This factory produces cars.
widely,/ˈwaɪdli/,广泛地；普遍地,English is widely used around the world.
process,/ˈprəʊses/,加工；处理；过程,The food processing industry is important.
pack,/pæk/,包装；装箱,Please pack these books for me.
product,/ˈprɒdʌkt/,产品；制品,This is a new product.
France,/frɑːns/,法国,Paris is the capital of France.
local,/ˈləʊkl/,当地的；本地的,I like to eat local food.
brand,/brænd/,品牌；牌子,This is a famous brand.
avoid,/əˈvɔɪd/,避免；回避,We should avoid making mistakes.
handbag,/ˈhændbæɡ/,小手提包,She bought a new handbag.
mobile,/ˈməʊbaɪl/,可移动的；非固定的,Mobile phones are very popular now.
everyday,/ˈevrideɪ/,每天的；日常的,This is my everyday routine.
boss,/bɒs/,老板；上司,My boss is very kind.
Germany,/ˈdʒɜːməni/,德国,Berlin is the capital of Germany.
surface,/ˈsɜːfɪs/,表面；表层,The surface of the water is calm.
material,/məˈtɪəriəl/,材料；原料,We need more materials for the project.
traffic,/ˈtræfɪk/,交通；路上行驶的车辆,There's a lot of traffic in the city.
postman,/ˈpəʊstmən/,邮递员,The postman delivers letters every day.
cap,/kæp/,（尤指有帽舌的）帽子,He is wearing a baseball cap.
glove,/ɡlʌv/,（分手指的）手套,I need to buy a new pair of gloves.
international,/ˌɪntəˈnæʃnəl/,国际的,This is an international company.
competitor,/kəmˈpetɪtə(r)/,参赛者；竞争者,He is a strong competitor.
paint,/peɪnt/,用颜料画；刷漆；油漆；涂料,She likes to paint pictures.
its,/ɪts/,它的,The cat licked its paw.
heel,/hiːl/,鞋跟；足跟,Her shoes have high heels.
scoop,/skuːp/,用勺舀；勺；铲子,Can you scoop some ice cream for me?
electricity,/ɪˌlekˈtrɪsəti/,电；电能,We use electricity every day.
style,/staɪl/,样式；款式,This dress is in style.
project,/ˈprɒdʒekt/,项目；工程,We are working on a new project.
pleasure,/ˈpleʒə(r)/,高兴；愉快,It's my pleasure to help you.
zipper,/ˈzɪpə(r)/,拉链；拉锁,The zipper on my bag is broken.
daily,/ˈdeɪli/,每日的；日常的,Reading is part of my daily life.
website,/ˈwebsaɪt/,网站,You can find more information on our website.
pioneer,/ˌpaɪəˈnɪə(r)/,先锋；先驱,He is a pioneer in computer science.
list,/lɪst/,列表；列清单；名单,Please make a list of your needs.
mention,/ˈmenʃn/,提到；说到,He mentioned your name.
nearly,/ˈnɪəli/,几乎；差不多,It's nearly time to go.
ruler,/ˈruːlə(r)/,统治者；支配者；尺子,The country has a new ruler.
boil,/bɔɪl/,煮沸；烧开,Boil the water before drinking.
remain,/rɪˈmeɪn/,保持不变；剩余,Some problems remain unsolved.
smell,/smel/,气味；发出……气味；闻到,The flowers smell sweet.
saint,/seɪnt/,圣人；圣徒,He is considered a saint by many people.
national,/ˈnæʃnəl/,国家的；民族的,This is a national holiday.
trade,/treɪd/,贸易；交易；做买卖,International trade is important.
popularity,/ˌpɒpjuˈlærəti/,受欢迎；普及,The song gained great popularity.
doubt,/daʊt/,疑惑；疑问；怀疑,I have no doubt about his ability.
fridge,/frɪdʒ/,冰箱,Put the milk in the fridge.
low,/ləʊ/,低的；矮的,The temperature is very low today.
somebody,/ˈsʌmbədi/,某人；重要人物,Somebody is waiting for you.
translate,/trænzˈleɪt/,翻译,Can you translate this sentence into English?
lock,/lɒk/,锁上；锁住；锁,Remember to lock the door.
earthquake,/ˈɜːθkweɪk/,地震,There was a small earthquake last night.
sudden,/ˈsʌdn/,突然（的）,There was a sudden noise.
bell,/bel/,钟（声）；铃（声）,The bell rang for class.
biscuit,/ˈbɪskɪt/,饼干,I had a biscuit with my tea.
cookie,/ˈkʊki/,曲奇饼干,My mom makes delicious cookies.
musical,/ˈmjuːzɪkl/,音乐的；有音乐天赋的,She has a musical talent.
instrument,/ˈɪnstrəmənt/,器械；仪器；工具；乐器,He plays a musical instrument.
crispy,/ˈkrɪspi/,脆的；酥脆的,The chips are crispy.
salty,/ˈsɔːlti/,咸的,This soup is too salty.
sour,/ˈsaʊə(r)/,酸的；有酸味的,Lemons are sour.
customer,/ˈkʌstəmə(r)/,顾客；客户,The shop has many customers.
Olympic,/əˈlɪmpɪk/,奥林匹克的,The Olympic Games are held every four years.
Canadian,/kəˈneɪdiən/,加拿大（人）的；加拿大人,He is Canadian.
divide,/dɪˈvaɪd/,分开；分散,Let's divide the work.
basket,/ˈbɑːskɪt/,篮；筐,There's a basket of apples.
hero,/ˈhɪərəʊ/,英雄；男主角,He is a hero in my heart.
professional,/prəˈfeʃənl/,职业的；专业的,She is a professional singer.
license,/ˈlaɪsns/,证；证件,He has a driving license.
safety,/ˈseɪfti/,安全；安全性,Safety is very important.
smoke,/sməʊk/,冒烟；吸烟；烟,No smoking in the building.
part-time,/ˌpɑːtˈtaɪm/,兼职（的）,She has a part-time job.
pierce,/pɪəs/,扎；刺破；穿透,She wants to pierce her ears.
earring,/ˈɪərɪŋ/,耳环；耳饰,She is wearing beautiful earrings.
flash,/flæʃ/,闪光灯；闪光；闪耀,The camera flash is too bright.
tiny,/ˈtaɪni/,极小的；微小的,There's a tiny bug on the leaf.
cry,/kraɪ/,哭；叫喊,The baby is crying.
field,/fiːld/,田野；场地,We played football on the field.
hug,/hʌɡ/,拥抱；搂抱,She gave me a big hug.
lift,/lɪft/,举起；抬高；电梯；搭便车,Please lift this box for me.
badly,/ˈbædli/,严重地；差；非常,He did badly in the exam.
awful,/ˈɔːfl/,很坏的；讨厌的,The weather is awful today.
regret,/rɪˈɡret/,感到遗憾；懊悔,I regret not studying harder.
poem,/ˈpəʊɪm/,诗；韵文,She wrote a beautiful poem.
community,/kəˈmjuːnəti/,社区；社团,We live in a small community.
chance,/tʃɑːns/,机会；可能性,Give me a chance to explain.
educate,/ˈedʒukeɪt/,教育；教导,Parents should educate their children.
manage,/ˈmænɪdʒ/,完成（困难的事）；应付,I can manage this problem.
society,/səˈsaɪəti/,社会,We should contribute to society.
support,/səˈpɔːt/,支持,My family supports me.
enter,/ˈentə(r)/,进来；进去,Please enter the room.
choice,/tʃɔɪs/,选择；挑选,It's your choice.
whose,/huːz/,谁的；（特指）那个人的,Whose book is this?
truck,/trʌk/,卡车；货车,A truck is parked outside.
rabbit,/ˈræbɪt/,兔；野兔,There's a rabbit in the garden.
attend,/əˈtend/,出席；参加,I will attend the meeting.
valuable,/ˈvæljuəbl/,贵重的；很有用的；宝贵的,This is a valuable diamond.
pink,/pɪŋk/,粉红色的；粉红色,She likes pink color.
picnic,/ˈpɪknɪk/,野餐,We had a picnic in the park.
anybody,/ˈenibɒdi/,任何人,Is anybody home?
noise,/nɔɪz/,声音；噪音,Please don't make noise.
policeman,/pəˈliːsmən/,男警察,The policeman helped us.
wolf,/wʊlf/,狼,The wolf is a dangerous animal.
laboratory,/ləˈbɒrətri/,实验室,We did experiments in the laboratory.
coat,/kəʊt/,外套；外衣,"Put on your coat, it's cold."
sleepy,/ˈsliːpi/,困倦的；瞌睡的,I feel sleepy after lunch.
land,/lænd/,着陆；降落；陆地,The plane will land soon.
alien,/ˈeɪliən/,外星人,Do you believe in aliens?
run after,/rʌn ˈɑːftə/,追逐；追赶,The dog is running after the cat.
suit,/suːt/,西服；套装；适合,He is wearing a business suit.
express,/ɪkˈspres/,表示；表达,Express your feelings openly.
circle,/ˈsɜːkl/,圆圈；圈出,Draw a circle on the paper.
Britain,/ˈbrɪtn/,大不列颠,London is in Britain.
mystery,/ˈmɪstri/,奥秘；神秘事物,This is a mystery to me.
receive,/rɪˈsiːv/,接受；收到,I received a letter from my friend.
historian,/hɪˈstɔːriən/,历史学家；史学工作者,He is a famous historian.
leader,/ˈliːdə(r)/,领导；领袖,He is a great leader.
midsummer,/ˌmɪdˈsʌmə(r)/,仲夏；中夏,Midsummer is the hottest time of the year.
medical,/ˈmedɪkl/,医疗的；医学的,This is a medical emergency.
purpose,/ˈpɜːpəs/,目的；目标,What is the purpose of this meeting?
prevent,/prɪˈvent/,阻止；阻挠,We should prevent accidents.
energy,/ˈenədʒi/,精力；力量,He has a lot of energy.
position,/pəˈzɪʃn/,位置；地方,Can you find my position on the map?
burial,/ˈberiəl/,埋葬；安葬,This is an ancient burial site.
honor,/ˈɒnə(r)/,尊重；表示敬意；荣幸；荣誉,It's my honor to meet you.
ancestor,/ˈænsestə(r)/,祖宗；祖先,We should respect our ancestors.
victory,/ˈvɪktəri/,胜利；成功,We celebrated our victory.
enemy,/ˈenəmi/,敌人；仇人,They defeated their enemy.
period,/ˈpɪəriəd/,一段时间；时期,This was a difficult period in his life.
hard-working,/ˌhɑːd ˈwɜːkɪŋ/,工作努力的；辛勤的,She is a hard-working student.
prefer,/prɪˈfɜː(r)/,更喜欢,I prefer tea to coffee.
lyrics,/ˈlɪrɪks/,歌词,I like the lyrics of this song.
Australian,/ɒˈstreɪliən/,澳大利亚（人）的；澳大利亚人,He is Australian.
electronic,/ɪˌlekˈtrɒnɪk/,电子（设备）的,This is an electronic device.
suppose,/səˈpəʊz/,推断；料想,I suppose you are right.
smooth,/smuːð/,平滑的；悦耳的,The surface is smooth.
spare,/speə(r)/,空闲的；不用的；抽出；留出,Do you have any spare time?
director,/dəˈrektə(r)/,导演；部门负责人,He is a famous director.
case,/keɪs/,情况；实情,"In that case, we need to change our plan."
war,/wɔː(r)/,战争；战争状态,"We should work for peace, not war."
stick,/stɪk/,粘贴；将……刺入,Stick the stamp on the envelope.
down,/daʊn/,悲哀；沮丧,He feels down today.
dialog,/ˈdaɪəlɒɡ/,对话；对白,The dialog is very interesting.
ending,/ˈendɪŋ/,（故事、电影等的）结尾；结局,I don't like the ending of this movie.
documentary,/ˌdɒkjuˈmentri/,纪录片,I watched a documentary about animals.
drama,/ˈdrɑːmə/,戏；剧,She is studying drama at university.
plenty of,/ˈplenti əv/,大量；充足,There is plenty of food.
shut,/ʃʌt/,关闭；关上,"Shut the door, please."
superhero,/ˈsuːpəhɪərəʊ/,超级英雄,Spiderman is a superhero.
once in a while,/wʌns ɪn ə waɪl/,偶尔地；间或,I visit my grandparents once in a while.
intelligent,/ɪnˈtelɪdʒənt/,有才智的；聪明的,She is an intelligent girl.
sense,/sens/,感觉到；意识到；感官；感觉,I sense danger.
sadness,/ˈsædnəs/,悲伤；悲痛,She couldn't hide her sadness.
pain,/peɪn/,痛苦；疼痛；苦恼,He is in pain.
reflect,/rɪˈflekt/,反映；映出,The mirror reflects light.
moving,/ˈmuːvɪŋ/,动人的；令人感动的,This is a moving story.
perform,/pəˈfɔːm/,表演；执行,She will perform a song.
lifetime,/ˈlaɪftaɪm/,一生；有生之年,This is a once-in-a-lifetime opportunity.
pity,/ˈpɪti/,遗憾；怜悯,It's a pity you can't come.
total,/ˈtəʊtl/,总数；合计；总的；全体的,The total cost is $100.
master,/ˈmɑːstə(r)/,大师；能手；主人；掌握,He is a master of his craft.
praise,/preɪz/,表扬；赞扬,The teacher praised her work.
recall,/rɪˈkɔːl/,回忆起；回想起,I can't recall his name.
wound,/wuːnd/,伤；伤口；创伤,He has a wound on his arm.
painful,/ˈpeɪnfl/,令人痛苦的；令人疼痛的,This is a painful experience.
custom,/ˈkʌstəm/,风俗；习俗,It's a local custom.
bow,/baʊ/,鞠躬,People bow to show respect in some countries.
kiss,/kɪs/,亲吻；接吻,She gave him a kiss.
greet,/ɡriːt/,和……打招呼；迎接,He greeted me with a smile.
relaxed,/rɪˈlækst/,放松的；自在的,I feel relaxed after the vacation.
value,/ˈvæljuː/,重视；珍视；价值,We value your opinion.
drop by,/drɒp baɪ/,顺便访问；随便进入,Drop by anytime.
capital,/ˈkæpɪtl/,首都；省会,Beijing is the capital of China.
after all,/ˈɑːftə ɔːl/,毕竟；终归,He is a child after all.
noon,/nuːn/,正午；中午,We have lunch at noon.
mad,/mæd/,很生气；疯的,She is mad at me.
effort,/ˈefət/,努力；尽力,He made a great effort.
passport,/ˈpɑːspɔːt/,护照,You need a passport to travel abroad.
chalk,/tʃɔːk/,粉笔,The teacher wrote with chalk.
blackboard,/ˈblækbɔːd/,黑板,Write it on the blackboard.
northern,/ˈnɔːðən/,北方的；北部的,This is a northern city.
coast,/kəʊst/,海岸；海滨,We live near the coast.
season,/ˈsiːzn/,季；季节,Spring is my favorite season.
knock,/nɒk/,敲；击,Someone is knocking at the door.
eastern,/ˈiːstən/,东方的；东部的,This is an eastern country.
take off,/teɪk ɒf/,脱下（衣服）；（飞机等）起飞,Take off your coat.
worth,/wɜːθ/,值得；有……价值（的）,This book is worth reading.
manner,/ˈmænə(r)/,方式；方法；礼貌；礼仪,He has good manners.
empty,/ˈempti/,空的；空洞的,The room is empty.
basic,/ˈbeɪsɪk/,基本的；基础的,We need to learn basic skills.
exchange,/ɪksˈtʃeɪndʒ/,交换,We can exchange ideas.
go out of one's way,/ɡəʊ aʊt əv wʌnz weɪ/,特地；格外努力,She went out of her way to help me.
make...feel at home,/meɪk fiːl æt həʊm/,使（某人）感到宾至如归,Our host made us feel at home.
teenage,/ˈtiːneɪdʒ/,青少年的；十几岁的,This is a teenage magazine.
granddaughter,/ˈɡrændɔːtə(r)/,（外）孙女,She is my granddaughter.
behave,/bɪˈheɪv/,表现；举止,Children should behave well.
except,/ɪkˈsept/,除……之外,Everyone came except Tom.
elbow,/ˈelbəʊ/,肘；胳膊,He hit his elbow on the table.
gradually,/ˈɡrædʒuəli/,逐步地；渐进地,The situation improved gradually.
suggestion,/səˈdʒestʃən/,建议,Do you have any suggestions?
rather,/ˈrɑːðə/,相当；相反,It's rather cold today.
would rather,/wʊd ˈrɑːðə/,宁愿,I would rather stay at home.
drive,/draɪv/,迫使,Don't let fear drive you.
friendship,/ˈfrendʃɪp/,友谊；友情,Our friendship is very strong.
king,/kɪŋ/,国王；君主,The king ruled wisely.
prime,/praɪm/,首要的；基本的,This is a prime example.
minister,/ˈmɪnɪstə(r)/,大臣；部长,The prime minister will visit our country.
banker,/ˈbæŋkə(r)/,银行家,Her father is a banker.
fame,/feɪm/,名声；声誉,He achieved fame at a young age.
pale,/peɪl/,苍白的；灰白的,Her face turned pale.
queen,/kwiːn/,王后；女王,The queen is loved by her people.
examine,/ɪɡˈzæmɪn/,（仔细地）检查；检验,The doctor examined the patient.
nor,/nɔː(r)/,也不,"He doesn't like coffee, nor do I."
neither...nor...,/ˈnaɪðə nɔː/,既不……也不……,Neither he nor I know the answer.
palace,/ˈpæləs/,王宫；宫殿,The royal palace is beautiful.
power,/ˈpaʊə(r)/,权力；力量,Knowledge is power.
wealth,/welθ/,财富；富裕,Health is more important than wealth.
grey,/ɡreɪ/,灰色的；灰白的,His hair is turning grey.
lemon,/ˈlemən/,柠檬,I like lemon juice.
uncomfortable,/ʌnˈkʌmftəbl/,使人不舒服的；令人不舒适的,This chair is uncomfortable.
weight,/weɪt/,重量；分量,What is your weight?
shoulder,/ˈʃəʊldə(r)/,肩；肩膀,He patted me on the shoulder.
goal,/ɡəʊl/,球门；目标；射门,Our goal is to win the game.
coach,/kəʊtʃ/,教练；私人教师,The coach is very experienced.
kick,/kɪk/,踢；踹,He kicked the ball into the goal.
teammate,/ˈtiːmmeɪt/,队友；同队队员,He is my teammate.
courage,/ˈkʌrɪdʒ/,勇气；勇敢,It takes courage to speak in public.
relief,/rɪˈliːf/,轻松；解脱；缓和；缓解,I felt a sense of relief.
nod,/nɒd/,点头,He nodded in agreement.
agreement,/əˈɡriːmənt/,（意见或看法）一致；同意,We reached an agreement.
fault,/fɔːlt/,过失；缺点,It's not my fault.
disappoint,/ˌdɪsəˈpɔɪnt/,使失望,I don't want to disappoint you.
unexpected,/ˌʌnɪkˈspektɪd/,出乎意料的；始料不及的,This is an unexpected result.
by the time,/baɪ ðə taɪm/,到……时候为止,"By the time I arrived, the party had started."
backpack,/ˈbækpæk/,背包；旅行包,I need to buy a new backpack.
oversleep,/ˌəʊvəˈsliːp/,睡过头；睡得太久,I overslept this morning.
ring,/rɪŋ/,（钟、铃等）鸣响；戒指,The bell rang loudly.
give...a lift,/ɡɪv ə lɪft/,捎……一程,Can you give me a lift to the station?
miss,/mɪs/,错过；未得到,I missed the bus.
unbelievable,/ˌʌnbɪˈliːvəbl/,难以置信的；不真实的,This story is unbelievable.
disappear,/ˌdɪsəˈpɪə(r)/,消失；不见,The sun disappeared behind the clouds.
embarrassing,/ɪmˈbærəsɪŋ/,使人难堪的；令人尴尬的,This is an embarrassing situation.
announce,/əˈnaʊns/,宣布；宣告,The winner will be announced tomorrow.
spaghetti,/spəˈɡeti/,意大利面条,I like eating spaghetti.
hoax,/həʊks/,骗局；恶作剧,It was all a hoax.
sell out,/sel aʊt/,卖光,The tickets sold out quickly.
discovery,/dɪˈskʌvəri/,发现；发觉,This is an important scientific discovery.
lady,/ˈleɪdi/,女士；女子,She is a kind lady.
cancel,/ˈkænsl/,取消；终止,We had to cancel the meeting.
officer,/ˈɒfɪsə(r)/,军官；官员；警察,The police officer helped us.
believable,/bɪˈliːvəbl/,可相信的；可信任的,His story is believable.
disappear,/ˌdɪsəˈpɪə(r)/,消失；不见,The magic trick made the rabbit disappear.
embarrassed,/ɪmˈbærəst/,窘迫的；害羞的,She felt embarrassed.
convincing,/kənˈvɪnsɪŋ/,令人信服的；有说服力的,His argument is convincing.
flee,/fliː/,逃；逃走,They had to flee from the fire.
fled,/fled/,逃；逃走（flee的过去式和过去分词）,They fled the country.
panic,/ˈpænɪk/,惊慌；恐慌,"Don't panic, everything will be okay."
set off,/set ɒf/,出发；启程,We set off early in the morning.
piece,/piːs/,片；块；段,Can I have a piece of cake?
authority,/ɔːˈθɒrəti/,官方；当局,The authorities are investigating.
reveal,/rɪˈviːl/,揭示；揭露,The report revealed some interesting facts.
hoaxer,/ˈhəʊksə(r)/,骗局制造者；恶作剧者,The hoaxer was caught by the police.
foolish,/ˈfuːlɪʃ/,愚蠢的；傻的,That was a foolish decision.
take place,/teɪk pleɪs/,发生；举行,The meeting will take place tomorrow.
